,rank,goodness,bad_minimax,frequency,neutrals_minimax,variance,human_selected
22,52.5,0.15398979203850882,-0.13092194134113377,11391.0,-0.1403410902936625,0.3964821092381614,0
23,52.5,0.1529166065114914,-0.13239204169683771,11308.0,-0.171630754589134,0.278454566487292,0
24,60.0,0.14927922363932944,-0.18583191490173837,27487.0,-0.1349837604412395,0.24633309812973891,0
25,1.25,0.29292190289360787,-0.2210851392312114,9364.0,-0.30610197426509783,0.6005878465374138,0
26,15.0,0.2564968734180831,-0.1872420080439693,1657.0,-0.24979754809524965,0.535381936628443,1
27,21.25,0.2563004315397837,-0.20473045344803284,9045.0,-0.25603918595502656,0.4984918763760131,0
28,25.0,0.24912000487904037,-0.1925014106087407,11425.0,-0.3352065137088142,0.5335921726312208,0
29,27.5,0.24347708567678886,-0.22657158035588654,8263.0,-0.2684135237655452,0.5156930697949215,0
30,11.25,0.22687769620761933,-0.2275429666298455,18939.0,-0.17862892677010392,0.46391918693217526,0
31,22.5,0.220311003738891,-0.1837233858825925,19005.0,-0.2521639267818156,0.49356379570257086,0
32,37.5,0.21163946617359222,-0.16825217293301697,7050.0,-0.2643330778885294,0.39690526211317567,0
33,37.5,0.2058502238262316,-0.13836625750996526,13085.0,-0.21292162486152563,0.38244313335560703,0
34,41.25,0.20145889721973684,-0.15608632917915824,22212.0,-0.1681070917315398,0.44990332431214325,1
35,6.25,0.23366396749483578,-0.14778402331383936,15282.0,-0.1634590775186693,0.6486223408109526,0
36,13.75,0.2337348372701685,-0.18105098983617499,7288.0,-0.20487710936031253,0.6919601267150965,0
37,18.75,0.21759882996392177,-0.13536096750096874,12115.0,-0.1369092153246068,0.6144120114055948,0
38,20.0,0.2116726509832778,-0.21645164159591082,2039.0,-0.18881601694452954,0.5977433855285431,0
39,21.25,0.21513075263166334,-0.16225724741325945,2066.0,-0.16021948673050826,0.539419380050076,1
40,35.0,0.19524376891779813,-0.15342669642190246,12982.0,-0.1448645384012103,0.41127999349010524,0
41,56.25,0.1815980245354936,-0.3548391289461405,14520.0,-0.33756534352049233,0.47978658224533294,0
42,60.0,0.19202896650217502,-0.2513061275774139,12316.0,-0.23364457660866753,0.3906028617346438,0
43,62.5,0.17954046763498835,-0.21757431807195113,6887.0,-0.24431591767602792,0.3622106036477404,0
